"Plot Title: Eno_L"
"#","Date Time, GMT-05:00","Abs Pres, kPa (LGR S/N: 10906727, SEN S/N: 10906727)","Temp, °C (LGR S/N: 10906727, SEN S/N: 10906727)","Coupler Detached (LGR S/N: 10906727)","Coupler Attached (LGR S/N: 10906727)","Stopped (LGR S/N: 10906727)","End Of File (LGR S/N: 10906727)"
1,08/04/16 09:45:00 AM,104.332,25.610,Logged,,,
2,08/04/16 10:00:00 AM,104.312,25.610,,,,
3,08/04/16 10:15:00 AM,104.291,25.610,,,,
4,08/04/16 10:30:00 AM,104.274,25.708,,,,
5,08/04/16 10:45:00 AM,104.258,25.805,,,,
6,08/04/16 11:00:00 AM,104.237,25.805,,,,
